time,geopolitics_tone
2017-01-01 00:00:00+00:00,-2.2962
2017-01-02 00:00:00+00:00,-2.6933
2017-01-03 00:00:00+00:00,-2.5176
2017-01-04 00:00:00+00:00,-2.2475
2017-01-05 00:00:00+00:00,-2.2619
2017-01-06 00:00:00+00:00,-2.0049
2017-01-07 00:00:00+00:00,-2.8166
2017-01-08 00:00:00+00:00,-2.9993
2017-01-09 00:00:00+00:00,-2.2458
2017-01-10 00:00:00+00:00,-2.4117
2017-01-11 00:00:00+00:00,-2.5178
2017-01-12 00:00:00+00:00,-2.1876
2017-01-13 00:00:00+00:00,-2.108
2017-01-14 00:00:00+00:00,-1.8539
2017-01-15 00:00:00+00:00,-2.1101
2017-01-16 00:00:00+00:00,-2.0396
2017-01-17 00:00:00+00:00,-2.2119
2017-01-18 00:00:00+00:00,-2.0766
2017-01-19 00:00:00+00:00,-1.7049
2017-01-20 00:00:00+00:00,-1.96
2017-01-21 00:00:00+00:00,-2.0793
2017-01-22 00:00:00+00:00,-2.1833
2017-01-23 00:00:00+00:00,-2.0997
2017-01-24 00:00:00+00:00,-1.5608
2017-01-25 00:00:00+00:00,-1.8911
2017-01-26 00:00:00+00:00,-2.043
2017-01-27 00:00:00+00:00,-2.1337
2017-01-28 00:00:00+00:00,-2.8197
2017-01-29 00:00:00+00:00,-3.1843
2017-01-30 00:00:00+00:00,-3.0179
2017-01-31 00:00:00+00:00,-2.8129
2017-02-01 00:00:00+00:00,-2.5161
2017-02-02 00:00:00+00:00,-2.4084
2017-02-03 00:00:00+00:00,-2.5364
2017-02-04 00:00:00+00:00,-2.4626
2017-02-05 00:00:00+00:00,-2.4004
2017-02-06 00:00:00+00:00,-2.5716
2017-02-07 00:00:00+00:00,-2.8412
2017-02-08 00:00:00+00:00,-2.4166
2017-02-09 00:00:00+00:00,-2.6648
2017-02-10 00:00:00+00:00,-2.281
2017-02-11 00:00:00+00:00,-2.1527
2017-02-12 00:00:00+00:00,-1.9297
2017-02-13 00:00:00+00:00,-2.1491
2017-02-14 00:00:00+00:00,-2.2542
2017-02-15 00:00:00+00:00,-1.8928
2017-02-16 00:00:00+00:00,-2.0963
2017-02-17 00:00:00+00:00,-2.1943
2017-02-18 00:00:00+00:00,-2.5019
2017-02-19 00:00:00+00:00,-2.4301
2017-02-20 00:00:00+00:00,-2.104
2017-02-21 00:00:00+00:00,-2.1984
2017-02-22 00:00:00+00:00,-2.5234
2017-02-23 00:00:00+00:00,-2.1938
2017-02-24 00:00:00+00:00,-2.3618
2017-02-25 00:00:00+00:00,-2.6259
2017-02-26 00:00:00+00:00,-2.2143
2017-02-27 00:00:00+00:00,-1.6771
2017-02-28 00:00:00+00:00,-2.6169
2017-03-01 00:00:00+00:00,-2.1751
2017-03-02 00:00:00+00:00,-2.7011
2017-03-03 00:00:00+00:00,-2.3884
2017-03-04 00:00:00+00:00,-2.9354
2017-03-05 00:00:00+00:00,-2.3624
2017-03-06 00:00:00+00:00,-2.5208
2017-03-07 00:00:00+00:00,-2.6548
2017-03-08 00:00:00+00:00,-2.3461
2017-03-09 00:00:00+00:00,-2.3282
2017-03-10 00:00:00+00:00,-2.3148
2017-03-11 00:00:00+00:00,-2.564
2017-03-12 00:00:00+00:00,-2.6513
2017-03-13 00:00:00+00:00,-2.7499
2017-03-14 00:00:00+00:00,-2.718
2017-03-15 00:00:00+00:00,-2.7922
2017-03-16 00:00:00+00:00,-2.416
2017-03-17 00:00:00+00:00,-2.3637
2017-03-18 00:00:00+00:00,-2.3882
2017-03-19 00:00:00+00:00,-1.9663
2017-03-20 00:00:00+00:00,-1.8869
2017-03-21 00:00:00+00:00,-2.2355
2017-03-22 00:00:00+00:00,-2.4478
2017-03-23 00:00:00+00:00,-2.3173
2017-03-24 00:00:00+00:00,-2.2847
2017-03-25 00:00:00+00:00,-2.4342
2017-03-26 00:00:00+00:00,-2.4648
2017-03-27 00:00:00+00:00,-2.269
2017-03-28 00:00:00+00:00,-2.3266
