time,gold_tone
2017-01-01 00:00:00+00:00,0.2545
2017-01-02 00:00:00+00:00,-0.5112
2017-01-03 00:00:00+00:00,0.7986
2017-01-04 00:00:00+00:00,0.6354
2017-01-05 00:00:00+00:00,0.6857
2017-01-06 00:00:00+00:00,0.4356
2017-01-07 00:00:00+00:00,0.3032
2017-01-08 00:00:00+00:00,0.0902
2017-01-09 00:00:00+00:00,0.8495
2017-01-10 00:00:00+00:00,0.7304
2017-01-11 00:00:00+00:00,0.8743
2017-01-12 00:00:00+00:00,0.7593
2017-01-13 00:00:00+00:00,0.6286
2017-01-14 00:00:00+00:00,0.29
2017-01-15 00:00:00+00:00,0.7578
2017-01-16 00:00:00+00:00,0.4584
2017-01-17 00:00:00+00:00,0.4612
2017-01-18 00:00:00+00:00,0.8414
2017-01-19 00:00:00+00:00,0.6405
2017-01-20 00:00:00+00:00,-0.2988
2017-01-21 00:00:00+00:00,0.4895
2017-01-22 00:00:00+00:00,0.523
2017-01-23 00:00:00+00:00,0.476
2017-01-24 00:00:00+00:00,0.327
2017-01-25 00:00:00+00:00,1.134
2017-01-26 00:00:00+00:00,0.6725
2017-01-27 00:00:00+00:00,0.5702
2017-01-28 00:00:00+00:00,1.606
2017-01-29 00:00:00+00:00,0.4724
2017-01-30 00:00:00+00:00,-0.4667
2017-01-31 00:00:00+00:00,0.3238
2017-02-01 00:00:00+00:00,1.0554
2017-02-02 00:00:00+00:00,0.8593
2017-02-03 00:00:00+00:00,0.5318
2017-02-04 00:00:00+00:00,-2.1572
2017-02-05 00:00:00+00:00,0.1818
2017-02-06 00:00:00+00:00,0.4723
2017-02-07 00:00:00+00:00,0.2074
2017-02-08 00:00:00+00:00,0.6879
2017-02-09 00:00:00+00:00,0.4488
2017-02-10 00:00:00+00:00,0.6486
2017-02-11 00:00:00+00:00,1.047
2017-02-12 00:00:00+00:00,0.8154
2017-02-13 00:00:00+00:00,0.9628
2017-02-14 00:00:00+00:00,0.6921
2017-02-15 00:00:00+00:00,0.5969
2017-02-16 00:00:00+00:00,0.6274
2017-02-17 00:00:00+00:00,1.5981
2017-02-18 00:00:00+00:00,0.4044
2017-02-19 00:00:00+00:00,0.099
2017-02-20 00:00:00+00:00,0.7658
2017-02-21 00:00:00+00:00,0.991
2017-02-22 00:00:00+00:00,0.851
2017-02-23 00:00:00+00:00,0.718
2017-02-24 00:00:00+00:00,0.064
2017-02-25 00:00:00+00:00,0.9387
2017-02-26 00:00:00+00:00,1.4321
2017-02-27 00:00:00+00:00,1.0504
2017-02-28 00:00:00+00:00,0.6218
2017-03-01 00:00:00+00:00,0.3031
2017-03-02 00:00:00+00:00,0.4709
2017-03-03 00:00:00+00:00,0.3925
2017-03-04 00:00:00+00:00,0.5957
2017-03-05 00:00:00+00:00,0.6363
2017-03-06 00:00:00+00:00,0.6297
2017-03-07 00:00:00+00:00,0.6572
2017-03-08 00:00:00+00:00,0.6361
2017-03-09 00:00:00+00:00,0.2272
2017-03-10 00:00:00+00:00,0.4683
2017-03-11 00:00:00+00:00,0.685
2017-03-12 00:00:00+00:00,0.6297
2017-03-13 00:00:00+00:00,0.5744
2017-03-14 00:00:00+00:00,0.5518
2017-03-15 00:00:00+00:00,0.4236
2017-03-16 00:00:00+00:00,0.5907
2017-03-17 00:00:00+00:00,0.83
2017-03-18 00:00:00+00:00,0.4226
2017-03-19 00:00:00+00:00,0.148
2017-03-20 00:00:00+00:00,0.5448
2017-03-21 00:00:00+00:00,0.4664
2017-03-22 00:00:00+00:00,-0.45
2017-03-23 00:00:00+00:00,-0.0199
2017-03-24 00:00:00+00:00,0.3835
2017-03-25 00:00:00+00:00,0.3026
2017-03-26 00:00:00+00:00,0.1803
2017-03-27 00:00:00+00:00,-0.0289
2017-03-28 00:00:00+00:00,0.6688
2017-03-29 00:00:00+00:00,0.698
2017-03-30 00:00:00+00:00,0.897
2017-03-31 00:00:00+00:00,0.9399
2017-04-01 00:00:00+00:00,1.1495
2017-04-02 00:00:00+00:00,0.7387
2017-04-03 00:00:00+00:00,0.5667
2017-04-04 00:00:00+00:00,-0.0505
2017-04-05 00:00:00+00:00,0.5923
2017-04-06 00:00:00+00:00,0.321
2017-04-07 00:00:00+00:00,-1.1858
2017-04-08 00:00:00+00:00,0.121
2017-04-09 00:00:00+00:00,1.5709
2017-04-10 00:00:00+00:00,0.2149
2017-04-11 00:00:00+00:00,0.1891
2017-04-12 00:00:00+00:00,-0.8136
2017-04-13 00:00:00+00:00,0.1676
2017-04-14 00:00:00+00:00,0.7517
2017-04-15 00:00:00+00:00,0.4066
2017-04-16 00:00:00+00:00,0.0758
2017-04-17 00:00:00+00:00,0.1065
2017-04-18 00:00:00+00:00,0.1672
2017-04-19 00:00:00+00:00,-0.2396
2017-04-20 00:00:00+00:00,0.6784
2017-04-21 00:00:00+00:00,0.7684
2017-04-22 00:00:00+00:00,-2.5102
2017-04-23 00:00:00+00:00,0.0536
2017-04-24 00:00:00+00:00,0.6918
2017-04-25 00:00:00+00:00,0.7382
2017-04-26 00:00:00+00:00,0.6168
2017-04-27 00:00:00+00:00,1.0322
2017-04-28 00:00:00+00:00,1.2535
2017-04-29 00:00:00+00:00,0.3601
2017-04-30 00:00:00+00:00,-0.1948
2017-05-01 00:00:00+00:00,0.3943
2017-05-02 00:00:00+00:00,0.6658
2017-05-03 00:00:00+00:00,0.4621
2017-05-04 00:00:00+00:00,0.7016
2017-05-05 00:00:00+00:00,0.3421
2017-05-06 00:00:00+00:00,-0.2691
2017-05-07 00:00:00+00:00,-0.0664
2017-05-08 00:00:00+00:00,0.3159
2017-05-09 00:00:00+00:00,0.313
2017-05-10 00:00:00+00:00,0.481
2017-05-11 00:00:00+00:00,0.1367
2017-05-12 00:00:00+00:00,-0.2531
2017-05-13 00:00:00+00:00,0.7121
2017-05-14 00:00:00+00:00,0.1283
2017-05-15 00:00:00+00:00,0.0344
2017-05-16 00:00:00+00:00,0.1274
