time,gold_vol
2017-01-01 00:00:00+00:00,0.0294
2017-01-02 00:00:00+00:00,0.0261
2017-01-03 00:00:00+00:00,0.0521
2017-01-04 00:00:00+00:00,0.0574
2017-01-05 00:00:00+00:00,0.0614
2017-01-06 00:00:00+00:00,0.0837
2017-01-07 00:00:00+00:00,0.0288
2017-01-08 00:00:00+00:00,0.025
2017-01-09 00:00:00+00:00,0.0545
2017-01-10 00:00:00+00:00,0.0615
2017-01-11 00:00:00+00:00,0.052
2017-01-12 00:00:00+00:00,0.0505
2017-01-13 00:00:00+00:00,0.0789
2017-01-14 00:00:00+00:00,0.0381
2017-01-15 00:00:00+00:00,0.0202
2017-01-16 00:00:00+00:00,0.0573
2017-01-17 00:00:00+00:00,0.083
2017-01-18 00:00:00+00:00,0.0599
2017-01-19 00:00:00+00:00,0.0634
2017-01-20 00:00:00+00:00,0.0763
2017-01-21 00:00:00+00:00,0.0267
2017-01-22 00:00:00+00:00,0.0166
2017-01-23 00:00:00+00:00,0.0644
2017-01-24 00:00:00+00:00,0.0584
2017-01-25 00:00:00+00:00,0.0581
2017-01-26 00:00:00+00:00,0.0612
2017-01-27 00:00:00+00:00,0.0646
2017-01-28 00:00:00+00:00,0.0491
2017-01-29 00:00:00+00:00,0.0189
2017-01-30 00:00:00+00:00,0.0683
2017-01-31 00:00:00+00:00,0.0614
2017-02-01 00:00:00+00:00,0.0593
2017-02-02 00:00:00+00:00,0.0659
2017-02-03 00:00:00+00:00,0.0788
2017-02-04 00:00:00+00:00,0.0803
2017-02-05 00:00:00+00:00,0.0182
2017-02-06 00:00:00+00:00,0.0835
2017-02-07 00:00:00+00:00,0.0665
2017-02-08 00:00:00+00:00,0.0558
2017-02-09 00:00:00+00:00,0.0604
2017-02-10 00:00:00+00:00,0.0476
2017-02-11 00:00:00+00:00,0.0228
2017-02-12 00:00:00+00:00,0.0189
2017-02-13 00:00:00+00:00,0.0429
2017-02-14 00:00:00+00:00,0.0482
2017-02-15 00:00:00+00:00,0.07
2017-02-16 00:00:00+00:00,0.0709
2017-02-17 00:00:00+00:00,0.0818
2017-02-18 00:00:00+00:00,0.0291
2017-02-19 00:00:00+00:00,0.0301
2017-02-20 00:00:00+00:00,0.0558
2017-02-21 00:00:00+00:00,0.0615
2017-02-22 00:00:00+00:00,0.0579
2017-02-23 00:00:00+00:00,0.07
2017-02-24 00:00:00+00:00,0.0777
2017-02-25 00:00:00+00:00,0.0307
2017-02-26 00:00:00+00:00,0.0187
2017-02-27 00:00:00+00:00,0.0626
2017-02-28 00:00:00+00:00,0.0609
2017-03-01 00:00:00+00:00,0.0591
2017-03-02 00:00:00+00:00,0.0509
2017-03-03 00:00:00+00:00,0.0699
2017-03-04 00:00:00+00:00,0.031
2017-03-05 00:00:00+00:00,0.0172
2017-03-06 00:00:00+00:00,0.0543
