khung,che_do_bien_dong,tu,den,n,pearson,p_pearson,spearman,p_spearman,beta,se_beta_HAC,t_beta,alpha_bp,r2,sd_rx_bp,sd_rp_bp
D1,tat ca,2020-08-31,2025-12-30,1103,0.9051,0.0,0.9081,0.0,0.897,0.0258,34.71,2.125,0.8192,93.3,94.1
D1,thap,2020-09-15,2025-12-30,365,0.8664,1.57e-111,0.8828,3.57e-121,0.8237,0.0403,20.44,3.187,0.7507,68.3,71.9
D1,trung binh,2020-10-05,2025-12-15,364,0.8992,5.55e-132,0.9092,7.54e-140,0.9005,0.0432,20.86,0.121,0.8085,86.7,86.5
D1,cao,2020-10-12,2025-12-02,365,0.9229,1.67e-152,0.9264,4.67e-156,0.9249,0.0429,21.55,3.239,0.8517,118.7,118.4
H1,tat ca,2020-08-28,2025-12-31,31105,0.6628,0.0,0.5852,0.0,0.5787,0.0211,27.37,0.166,0.4393,19.5,22.3
H1,thap,2020-10-16,2025-09-17,10356,0.5257,0.0,0.493,0.0,0.4225,0.0426,9.92,0.105,0.2764,13.6,16.9
H1,trung binh,2020-09-01,2025-12-24,10355,0.6068,0.0,0.5605,0.0,0.5142,0.0327,15.73,0.41,0.3682,18.2,21.5
H1,cao,2020-09-02,2025-12-31,10355,0.743,0.0,0.6739,0.0,0.6794,0.0244,27.86,0.064,0.552,25.0,27.4
M15,tat ca,2020-08-28,2025-12-31,124280,0.4628,0.0,0.3892,0.0,0.3498,0.0142,24.68,0.048,0.2141,9.8,13.0
M15,thap,2020-09-15,2025-12-10,41406,0.3088,0.0,0.2765,0.0,0.2068,0.0173,11.99,0.043,0.0954,6.7,10.0
M15,trung binh,2020-09-08,2025-12-23,41405,0.3815,0.0,0.3463,0.0,0.2755,0.016,17.24,0.131,0.1456,8.8,12.2
M15,cao,2020-08-31,2025-12-31,41406,0.5594,0.0,0.5052,0.0,0.4516,0.0237,19.05,-0.006,0.3129,12.9,15.9
