khung,mo_hinh,n,do_chinh_xac,f1_macro,f1_weighted
D1,Baseline_MACD_EMA,2429,0.3853,0.3684,0.3781
D1,LSTM,2268,0.3629,0.3647,0.352
D1,RandomForest,2429,0.3623,0.363,0.3594
D1,XGBoost,2429,0.38,0.3765,0.3796
H1,Baseline_MACD_EMA,27237,0.291,0.2914,0.2975
H1,LSTM,27076,0.3716,0.3567,0.3741
H1,RandomForest,27237,0.3921,0.3862,0.3935
H1,XGBoost,27237,0.3949,0.3781,0.3945
M15,Baseline_MACD_EMA,32123,0.3018,0.3019,0.3055
M15,LSTM,31962,0.408,0.4083,0.4078
M15,RandomForest,32123,0.4223,0.4271,0.4183
M15,XGBoost,32123,0.4276,0.4324,0.4256
