khung,mo_hinh,che_do,lot,cat_lo,rr,so_lenh,loi_nhuan_rong,loi_nhuan_pct,ty_le_thang,he_so_loi_nhuan,sharpe,sortino,sut_giam_toi_da,calmar,ky_vong
D1,Baseline_MACD_EMA,lot co dinh,0.1,5,1.5,405,-8016.0,-80.16,0.2593,0.488,-2.327,-5.106,-80.16,-0.193,-19.79
D1,Baseline_MACD_EMA,lot co dinh,0.1,5,2.0,545,-8049.0,-80.49,0.2495,0.623,-1.537,-4.183,-80.49,-0.194,-14.77
D1,Baseline_MACD_EMA,lot co dinh,0.1,10,1.5,489,-1458.61,-14.59,0.3967,0.951,-0.158,-1.835,-34.49,-0.047,-2.98
D1,Baseline_MACD_EMA,lot co dinh,0.1,10,2.0,456,1362.71,13.63,0.3531,1.045,0.2,2.973,-24.09,0.055,2.99
D1,Baseline_MACD_EMA,lot co dinh,0.1,15,1.5,393,1784.23,17.84,0.4249,1.052,0.214,3.039,-22.36,0.077,4.54
D1,Baseline_MACD_EMA,lot co dinh,0.1,15,2.0,364,6378.6,63.79,0.3901,1.191,0.548,5.828,-14.45,0.363,17.52
D1,Baseline_MACD_EMA,lot co dinh,0.1,20,1.5,334,5502.16,55.02,0.4461,1.151,0.429,2.979,-20.26,0.23,16.47
D1,Baseline_MACD_EMA,lot co dinh,0.1,20,2.0,300,7388.21,73.88,0.4067,1.212,0.578,3.783,-10.83,0.545,24.63
D1,Baseline_MACD_EMA,lot co dinh,0.1,25,1.5,293,6195.66,61.96,0.4608,1.162,0.422,2.175,-20.63,0.249,21.15
D1,Baseline_MACD_EMA,lot co dinh,0.1,25,2.0,270,5418.31,54.18,0.4111,1.141,0.36,2.372,-19.62,0.234,20.07
D1,Baseline_MACD_EMA,lot co dinh,0.1,30,1.5,255,4325.69,43.26,0.4471,1.112,0.311,1.35,-20.37,0.186,16.96
D1,Baseline_MACD_EMA,lot co dinh,0.1,30,2.0,241,7531.22,75.31,0.4315,1.198,0.44,2.127,-18.16,0.33,31.25
D1,Baseline_MACD_EMA,lot co dinh,0.2,5,1.5,254,-8017.6,-80.18,0.2913,0.573,-1.577,-3.58,-80.18,-0.193,-31.57
D1,Baseline_MACD_EMA,lot co dinh,0.2,5,2.0,296,-8102.4,-81.02,0.2568,0.647,-1.507,-3.771,-81.02,-0.195,-27.37
D1,Baseline_MACD_EMA,lot co dinh,0.2,10,1.5,489,-2917.22,-29.17,0.3967,0.951,-0.146,-1.046,-56.56,-0.062,-5.97
D1,Baseline_MACD_EMA,lot co dinh,0.2,10,2.0,456,2725.42,27.25,0.3531,1.045,0.243,2.353,-37.39,0.068,5.98
D1,Baseline_MACD_EMA,lot co dinh,0.2,15,1.5,393,3568.46,35.68,0.4249,1.052,0.26,2.73,-36.57,0.088,9.08
D1,Baseline_MACD_EMA,lot co dinh,0.2,15,2.0,364,12757.2,127.57,0.3901,1.191,0.581,4.731,-22.59,0.394,35.05
D1,Baseline_MACD_EMA,lot co dinh,0.2,20,1.5,334,11004.32,110.04,0.4461,1.151,0.456,2.631,-34.24,0.234,32.95
D1,Baseline_MACD_EMA,lot co dinh,0.2,20,2.0,300,14776.42,147.76,0.4067,1.212,0.622,3.131,-16.18,0.61,49.25
D1,Baseline_MACD_EMA,lot co dinh,0.2,25,1.5,293,12391.32,123.91,0.4608,1.162,0.447,1.854,-36.04,0.242,42.29
D1,Baseline_MACD_EMA,lot co dinh,0.2,25,2.0,270,10836.62,108.37,0.4111,1.141,0.4,2.289,-33.72,0.235,40.14
D1,Baseline_MACD_EMA,lot co dinh,0.2,30,1.5,255,8651.38,86.51,0.4471,1.112,0.361,1.442,-35.26,0.189,33.93
D1,Baseline_MACD_EMA,lot co dinh,0.2,30,2.0,241,15062.44,150.62,0.4315,1.198,0.469,1.945,-31.68,0.316,62.5
D1,Baseline_MACD_EMA,lot co dinh,0.3,5,1.5,212,-8074.2,-80.74,0.316,0.644,-1.089,-2.726,-80.74,-0.195,-38.09
D1,Baseline_MACD_EMA,lot co dinh,0.3,5,2.0,258,-8002.8,-80.03,0.2791,0.725,-0.847,-2.377,-80.03,-0.192,-31.02
D1,Baseline_MACD_EMA,lot co dinh,0.3,10,1.5,489,-4375.83,-43.76,0.3967,0.951,-0.139,-0.697,-71.9,-0.081,-8.95
D1,Baseline_MACD_EMA,lot co dinh,0.3,10,2.0,456,4088.13,40.88,0.3531,1.045,0.277,2.099,-45.82,0.079,8.97
D1,Baseline_MACD_EMA,lot co dinh,0.3,15,1.5,393,5352.69,53.53,0.4249,1.052,0.298,2.512,-46.41,0.098,13.62
D1,Baseline_MACD_EMA,lot co dinh,0.3,15,2.0,364,19135.8,191.36,0.3901,1.191,0.606,4.058,-27.81,0.422,52.57
D1,Baseline_MACD_EMA,lot co dinh,0.3,20,1.5,334,16506.48,165.06,0.4461,1.151,0.48,2.388,-44.46,0.239,49.42
D1,Baseline_MACD_EMA,lot co dinh,0.3,20,2.0,300,22164.63,221.65,0.4067,1.212,0.648,2.744,-19.72,0.653,73.88
D1,Baseline_MACD_EMA,lot co dinh,0.3,25,1.5,293,18586.98,185.87,0.4608,1.162,0.474,1.7,-47.98,0.24,63.44
D1,Baseline_MACD_EMA,lot co dinh,0.3,25,2.0,270,16254.93,162.55,0.4111,1.141,0.44,2.233,-44.33,0.238,60.2
D1,Baseline_MACD_EMA,lot co dinh,0.3,30,1.5,255,12977.07,129.77,0.4471,1.112,0.411,1.495,-48.27,0.187,50.89
D1,Baseline_MACD_EMA,lot co dinh,0.3,30,2.0,241,22593.66,225.94,0.4315,1.198,0.497,1.838,-42.13,0.31,93.75
D1,Baseline_MACD_EMA,lot co dinh,0.5,5,1.5,172,-8017.0,-80.17,0.343,0.728,-0.556,-1.817,-80.17,-0.193,-46.61
D1,Baseline_MACD_EMA,lot co dinh,0.5,5,2.0,206,-8016.0,-80.16,0.2961,0.788,-0.569,-2.097,-80.16,-0.193,-38.91
D1,Baseline_MACD_EMA,lot co dinh,0.5,10,1.5,488,-8032.05,-80.32,0.3955,0.946,-0.217,-0.56,-91.82,-0.169,-16.46
D1,Baseline_MACD_EMA,lot co dinh,0.5,10,2.0,456,6813.55,68.14,0.3531,1.045,0.329,1.883,-55.9,0.099,14.94
D1,Baseline_MACD_EMA,lot co dinh,0.5,15,1.5,393,8921.15,89.21,0.4249,1.052,0.361,2.269,-59.14,0.116,22.7
D1,Baseline_MACD_EMA,lot co dinh,0.5,15,2.0,364,31893.0,318.93,0.3901,1.191,0.641,3.281,-34.12,0.47,87.62
D1,Baseline_MACD_EMA,lot co dinh,0.5,20,1.5,334,27510.8,275.11,0.4461,1.151,0.524,2.11,-58.42,0.252,82.37
D1,Baseline_MACD_EMA,lot co dinh,0.5,20,2.0,300,36941.05,369.41,0.4067,1.212,0.675,2.289,-30.33,0.574,123.14
D1,Baseline_MACD_EMA,lot co dinh,0.5,25,1.5,293,30978.3,309.78,0.4608,1.162,0.533,1.598,-65.3,0.241,105.73
D1,Baseline_MACD_EMA,lot co dinh,0.5,25,2.0,270,27091.55,270.92,0.4111,1.141,0.517,2.202,-59.25,0.246,100.34
D1,Baseline_MACD_EMA,lot co dinh,0.5,30,1.5,255,21628.45,216.28,0.4471,1.112,0.511,1.601,-68.48,0.185,84.82
D1,Baseline_MACD_EMA,lot co dinh,0.5,30,2.0,241,37656.1,376.56,0.4315,1.198,0.552,1.754,-57.23,0.307,156.25
D1,Baseline_MACD_EMA,% rui ro 0.5%,,5,1.5,595,-7108.88,-71.09,0.2521,0.504,-2.992,-1.8155635552421504e+16,-71.3,-0.169,-11.95
D1,Baseline_MACD_EMA,% rui ro 0.5%,,5,2.0,579,-6015.08,-60.15,0.2435,0.626,-1.885,-1.4785426560956164e+16,-60.54,-0.15,-10.39
D1,Baseline_MACD_EMA,% rui ro 0.5%,,10,1.5,489,-787.43,-7.87,0.3967,0.949,-0.174,-3.355,-20.3,-0.042,-1.61
D1,Baseline_MACD_EMA,% rui ro 0.5%,,10,2.0,456,582.21,5.82,0.3531,1.035,0.144,3.931,-15.82,0.037,1.28
D1,Baseline_MACD_EMA,% rui ro 0.5%,,15,1.5,393,535.71,5.36,0.4249,1.045,0.158,2.862,-9.5,0.057,1.36
D1,Baseline_MACD_EMA,% rui ro 0.5%,,15,2.0,364,2255.29,22.55,0.3901,1.184,0.504,6.71,-6.51,0.328,6.2
D1,Baseline_MACD_EMA,% rui ro 0.5%,,20,1.5,334,1404.85,14.05,0.4461,1.148,0.401,3.167,-6.15,0.223,4.21
D1,Baseline_MACD_EMA,% rui ro 0.5%,,20,2.0,300,1942.67,19.43,0.4067,1.198,0.497,4.241,-4.53,0.411,6.48
D1,Baseline_MACD_EMA,% rui ro 0.5%,,25,1.5,293,1261.74,12.62,0.4608,1.16,0.396,2.503,-4.74,0.262,4.31
D1,Baseline_MACD_EMA,% rui ro 0.5%,,25,2.0,270,1078.79,10.79,0.4111,1.137,0.32,2.312,-4.65,0.23,4.0
D1,Baseline_MACD_EMA,% rui ro 0.5%,,30,1.5,255,703.38,7.03,0.4471,1.107,0.255,1.142,-4.24,0.167,2.76
D1,Baseline_MACD_EMA,% rui ro 0.5%,,30,2.0,241,1281.4,12.81,0.4315,1.194,0.406,2.207,-3.53,0.357,5.32
D1,Baseline_MACD_EMA,% rui ro 1.0%,,5,1.5,403,-8000.52,-80.01,0.2605,0.552,-2.311,-1.4759948782789546e+16,-80.01,-0.192,-19.85
D1,Baseline_MACD_EMA,% rui ro 1.0%,,5,2.0,541,-8012.98,-80.13,0.2514,0.661,-1.667,-7032349709389216.0,-80.13,-0.193,-14.81
D1,Baseline_MACD_EMA,% rui ro 1.0%,,10,1.5,489,-1665.26,-16.65,0.3967,0.947,-0.174,-3.355,-37.22,-0.05,-3.41
D1,Baseline_MACD_EMA,% rui ro 1.0%,,10,2.0,456,944.28,9.44,0.3531,1.026,0.144,3.931,-29.54,0.032,2.07
D1,Baseline_MACD_EMA,% rui ro 1.0%,,15,1.5,393,939.96,9.4,0.4249,1.038,0.158,2.862,-18.74,0.05,2.39
D1,Baseline_MACD_EMA,% rui ro 1.0%,,15,2.0,364,4745.86,47.46,0.3901,1.177,0.504,6.71,-12.67,0.324,13.04
D1,Baseline_MACD_EMA,% rui ro 1.0%,,20,1.5,334,2849.86,28.5,0.4461,1.145,0.401,3.167,-12.29,0.214,8.53
D1,Baseline_MACD_EMA,% rui ro 1.0%,,20,2.0,300,4060.94,40.61,0.4067,1.185,0.497,4.241,-8.91,0.404,13.54
D1,Baseline_MACD_EMA,% rui ro 1.0%,,25,1.5,293,2554.72,25.55,0.4608,1.156,0.396,2.503,-9.29,0.257,8.72
D1,Baseline_MACD_EMA,% rui ro 1.0%,,25,2.0,270,2130.44,21.3,0.4111,1.133,0.32,2.312,-9.33,0.217,7.89
D1,Baseline_MACD_EMA,% rui ro 1.0%,,30,1.5,255,1362.54,13.63,0.4471,1.102,0.255,1.142,-8.35,0.16,5.34
D1,Baseline_MACD_EMA,% rui ro 1.0%,,30,2.0,241,2602.41,26.02,0.4315,1.19,0.406,2.207,-6.99,0.348,10.8
D1,Baseline_MACD_EMA,% rui ro 2.0%,,5,1.5,244,-8006.11,-80.06,0.291,0.626,-1.4,-5357962285025767.0,-80.06,-0.192,-32.81
D1,Baseline_MACD_EMA,% rui ro 2.0%,,5,2.0,291,-8021.59,-80.22,0.2612,0.719,-1.084,-4588341405535938.0,-80.22,-0.193,-27.57
D1,Baseline_MACD_EMA,% rui ro 2.0%,,10,1.5,489,-3537.13,-35.37,0.3967,0.946,-0.174,-3.355,-62.4,-0.071,-7.23
D1,Baseline_MACD_EMA,% rui ro 2.0%,,10,2.0,456,936.48,9.36,0.3531,1.011,0.144,3.931,-51.47,0.018,2.05
D1,Baseline_MACD_EMA,% rui ro 2.0%,,15,1.5,393,1295.35,12.95,0.4249,1.025,0.158,2.862,-36.0,0.035,3.3
D1,Baseline_MACD_EMA,% rui ro 2.0%,,15,2.0,364,10218.59,102.19,0.3901,1.164,0.504,6.71,-24.03,0.315,28.07
D1,Baseline_MACD_EMA,% rui ro 2.0%,,20,1.5,334,5731.94,57.32,0.4461,1.138,0.401,3.167,-24.35,0.198,17.16
D1,Baseline_MACD_EMA,% rui ro 2.0%,,20,2.0,300,8686.01,86.86,0.4067,1.161,0.497,4.241,-17.39,0.385,28.95
D1,Baseline_MACD_EMA,% rui ro 2.0%,,25,1.5,293,5138.66,51.39,0.4608,1.149,0.396,2.503,-18.13,0.242,17.54
D1,Baseline_MACD_EMA,% rui ro 2.0%,,25,2.0,270,4044.44,40.44,0.4111,1.124,0.32,2.312,-19.63,0.183,14.98
D1,Baseline_MACD_EMA,% rui ro 2.0%,,30,1.5,255,2495.37,24.95,0.4471,1.092,0.255,1.142,-16.17,0.145,9.79
D1,Baseline_MACD_EMA,% rui ro 2.0%,,30,2.0,241,5274.8,52.75,0.4315,1.182,0.406,2.207,-13.71,0.328,21.89
D1,LSTM,lot co dinh,0.1,5,1.5,520,-8019.0,-80.19,0.2942,0.581,-2.023,-4.728,-80.19,-0.193,-15.42
D1,LSTM,lot co dinh,0.1,5,2.0,625,-8025.0,-80.25,0.2624,0.667,-1.422,-3.864,-80.58,-0.192,-12.84
D1,LSTM,lot co dinh,0.1,10,1.5,490,-8026.24,-80.26,0.3449,0.755,-0.938,-2.643,-81.53,-0.19,-16.38
D1,LSTM,lot co dinh,0.1,10,2.0,494,-8000.12,-80.0,0.2895,0.777,-0.673,-2.204,-81.38,-0.189,-16.19
D1,LSTM,lot co dinh,0.1,15,1.5,387,-8146.5,-81.46,0.354,0.782,-0.456,-1.425,-82.15,-0.195,-21.05
D1,LSTM,lot co dinh,0.1,15,2.0,352,-8030.82,-80.31,0.2955,0.782,-0.556,-1.687,-81.34,-0.191,-22.81
D1,LSTM,lot co dinh,0.1,20,1.5,259,-8051.18,-80.51,0.3475,0.75,-0.538,-1.371,-81.54,-0.191,-31.09
D1,LSTM,lot co dinh,0.1,20,2.0,257,-8004.17,-80.04,0.3074,0.763,-0.737,-2.071,-81.61,-0.189,-31.14
D1,LSTM,lot co dinh,0.1,25,1.5,217,-8175.55,-81.76,0.3502,0.743,-0.551,-1.307,-82.96,-0.195,-37.68
D1,LSTM,lot co dinh,0.1,25,2.0,229,-8165.59,-81.66,0.3319,0.769,-0.514,-1.42,-83.2,-0.194,-35.66
D1,LSTM,lot co dinh,0.1,30,1.5,231,-8234.0,-82.34,0.381,0.777,-0.642,-1.371,-83.52,-0.197,-35.65
D1,LSTM,lot co dinh,0.1,30,2.0,270,-8296.84,-82.97,0.3556,0.821,-0.465,-1.138,-84.54,-0.198,-30.73
D1,LSTM,lot co dinh,0.2,5,1.5,355,-8062.0,-80.62,0.3268,0.677,-1.181,-3.499,-80.62,-0.194,-22.71
D1,LSTM,lot co dinh,0.2,5,2.0,353,-8053.2,-80.53,0.272,0.7,-1.27,-3.257,-81.17,-0.192,-22.81
D1,LSTM,lot co dinh,0.2,10,1.5,231,-8112.88,-81.13,0.342,0.739,-0.876,-2.065,-83.4,-0.19,-35.12
D1,LSTM,lot co dinh,0.2,10,2.0,197,-8093.44,-80.93,0.2792,0.721,-0.833,-2.337,-83.39,-0.189,-41.08
D1,LSTM,lot co dinh,0.2,15,1.5,130,-8108.8,-81.09,0.3385,0.677,-0.632,-1.585,-82.43,-0.192,-62.38
D1,LSTM,lot co dinh,0.2,15,2.0,145,-8185.18,-81.85,0.2966,0.723,-0.739,-1.778,-83.66,-0.194,-56.45
D1,LSTM,lot co dinh,0.2,20,1.5,120,-8132.64,-81.33,0.35,0.713,-0.594,-1.219,-83.19,-0.192,-67.77
D1,LSTM,lot co dinh,0.2,20,2.0,143,-8374.16,-83.74,0.3287,0.764,-0.368,-0.878,-86.11,-0.199,-58.56
