khung,mo_hinh,loi_nhuan_rong,ty_le_thang,he_so_loi_nhuan,sharpe,sortino,sut_giam_toi_da,ky_vong
D1,Baseline_MACD_EMA,7100.88,0.409,1.126,0.406,2.104,-43.23,21.925
D1,LSTM,-8166.155,0.344,0.756,-0.531,-1.232,-83.805,-57.505
D1,RandomForest,-8059.225,0.367,0.869,-0.1,-0.236,-82.57,-23.2
D1,XGBoost,5057.36,0.391,1.08,0.342,1.519,-64.815,10.475
H1,Baseline_MACD_EMA,-8059.05,0.41,0.806,-0.585,-1.14,-80.885,-19.39
H1,LSTM,-8092.115,0.479,0.917,-0.345,-0.544,-86.08,-9.1
H1,RandomForest,-8024.33,0.417,0.831,-0.516,-0.833,-81.945,-19.59
H1,XGBoost,-8061.26,0.449,0.857,-0.511,-0.91,-82.975,-14.97
M15,Baseline_MACD_EMA,-4888.57,0.474,0.923,-0.535,-0.986,-79.375,-7.66
M15,LSTM,-8104.02,0.428,0.628,-2.265,-2.445,-81.585,-25.405
M15,RandomForest,-8005.965,0.406,0.851,-0.854,-2.768,-80.06,-11.125
M15,XGBoost,-8044.06,0.442,0.732,-1.438,-1.778,-80.44,-17.11
