khung,mo_hinh,che_do,loi_nhuan_rong,ty_le_thang,he_so_loi_nhuan,sharpe,sortino,sut_giam_toi_da,ky_vong
D1,Baseline_MACD_EMA,% rui ro 0.5%,891.085,0.409,1.122,0.288,2.407,-6.33,3.38
D1,Baseline_MACD_EMA,% rui ro 1.0%,1746.49,0.409,1.118,0.288,2.407,-12.48,6.615
D1,Baseline_MACD_EMA,% rui ro 2.0%,3269.905,0.409,1.108,0.288,2.407,-24.19,12.385
D1,LSTM,% rui ro 0.5%,-2493.31,0.327,0.772,-0.76,-6.26,-26.395,-6.385
D1,LSTM,% rui ro 1.0%,-4455.475,0.327,0.767,-0.76,-6.26,-46.68,-10.915
D1,LSTM,% rui ro 2.0%,-7116.2,0.339,0.76,-0.76,-6.26,-73.285,-18.06
D1,RandomForest,% rui ro 0.5%,-372.38,0.369,0.952,-0.112,-0.464,-12.615,-1.23
D1,RandomForest,% rui ro 1.0%,-815.605,0.369,0.945,-0.112,-0.464,-24.125,-2.7
D1,RandomForest,% rui ro 2.0%,-1981.165,0.369,0.932,-0.112,-0.464,-43.89,-6.17
D1,XGBoost,% rui ro 0.5%,900.015,0.395,1.074,0.244,1.48,-13.995,2.375
D1,XGBoost,% rui ro 1.0%,1715.535,0.395,1.068,0.244,1.48,-26.44,4.615
D1,XGBoost,% rui ro 2.0%,2986.455,0.395,1.055,0.244,1.48,-47.085,8.235
H1,Baseline_MACD_EMA,% rui ro 0.5%,1336.875,0.468,1.082,0.5,1.055,-12.965,1.35
H1,Baseline_MACD_EMA,% rui ro 1.0%,2694.865,0.468,1.08,0.5,1.055,-24.565,2.715
H1,Baseline_MACD_EMA,% rui ro 2.0%,5342.22,0.468,1.07,0.5,1.055,-43.99,5.195
H1,LSTM,% rui ro 0.5%,-1623.73,0.459,0.918,-0.599,-1.221,-23.5,-1.4
H1,LSTM,% rui ro 1.0%,-3135.82,0.459,0.924,-0.599,-1.221,-42.25,-2.67
H1,LSTM,% rui ro 2.0%,-5681.835,0.461,0.921,-0.599,-1.221,-68.54,-4.79
H1,RandomForest,% rui ro 0.5%,842.665,0.475,1.043,0.287,1.051,-13.81,0.685
H1,RandomForest,% rui ro 1.0%,1548.68,0.475,1.042,0.287,1.051,-25.88,1.245
H1,RandomForest,% rui ro 2.0%,2274.67,0.475,1.035,0.287,1.051,-45.55,1.8
H1,XGBoost,% rui ro 0.5%,-223.535,0.463,0.984,-0.064,-0.116,-15.96,-0.195
H1,XGBoost,% rui ro 1.0%,-578.565,0.463,0.98,-0.064,-0.116,-29.75,-0.5
H1,XGBoost,% rui ro 2.0%,-1619.505,0.463,0.968,-0.064,-0.116,-52.02,-1.395
M15,Baseline_MACD_EMA,% rui ro 0.5%,1543.435,0.494,1.158,1.428,2.592,-8.805,1.78
M15,Baseline_MACD_EMA,% rui ro 1.0%,3236.71,0.494,1.16,1.428,2.592,-16.91,3.735
M15,Baseline_MACD_EMA,% rui ro 2.0%,7064.265,0.494,1.16,1.428,2.592,-31.285,8.155
M15,LSTM,% rui ro 0.5%,350.855,0.463,1.043,0.382,0.669,-18.38,0.39
M15,LSTM,% rui ro 1.0%,626.555,0.463,1.042,0.382,0.669,-33.63,0.695
M15,LSTM,% rui ro 2.0%,933.665,0.463,1.038,0.382,0.669,-56.62,1.035
M15,RandomForest,% rui ro 0.5%,140.715,0.466,1.012,0.155,0.285,-9.77,0.155
M15,RandomForest,% rui ro 1.0%,202.97,0.466,1.008,0.155,0.285,-18.79,0.225
M15,RandomForest,% rui ro 2.0%,85.87,0.466,1.0,0.155,0.285,-34.705,0.085
M15,XGBoost,% rui ro 0.5%,-72.355,0.456,0.994,-0.019,-0.032,-10.52,-0.075
M15,XGBoost,% rui ro 1.0%,-246.595,0.456,0.988,-0.019,-0.032,-20.135,-0.255
M15,XGBoost,% rui ro 2.0%,-872.56,0.456,0.978,-0.019,-0.032,-36.84,-0.895
