khung,so_sanh,chi_tieu,n_cap,trung_vi_mo_hinh,trung_vi_chuan,thong_ke_W,p_value,ket_luan
D1,XGBoost vs Baseline_MACD_EMA,loi_nhuan_rong,84,1362.975,2787.64,1523.0,0.2426,khong co y nghia
D1,XGBoost vs Baseline_MACD_EMA,sharpe,84,0.311,0.36,1521.5,0.2399,khong co y nghia
D1,XGBoost vs Baseline_MACD_EMA,he_so_loi_nhuan,84,1.067,1.118,1504.5,0.2109,khong co y nghia
D1,LSTM vs Baseline_MACD_EMA,loi_nhuan_rong,84,-8028.53,2787.64,24.0,4.04e-15,co y nghia (5%)
D1,LSTM vs Baseline_MACD_EMA,sharpe,84,-0.597,0.36,93.0,4.479e-14,co y nghia (5%)
D1,LSTM vs Baseline_MACD_EMA,he_so_loi_nhuan,84,0.762,1.118,93.0,4.49e-14,co y nghia (5%)
D1,RandomForest vs Baseline_MACD_EMA,loi_nhuan_rong,84,-6154.935,2787.64,46.0,8.796e-15,co y nghia (5%)
D1,RandomForest vs Baseline_MACD_EMA,sharpe,84,-0.11,0.36,437.0,1.832e-09,co y nghia (5%)
D1,RandomForest vs Baseline_MACD_EMA,he_so_loi_nhuan,84,0.893,1.118,189.5,1.112e-12,co y nghia (5%)
H1,XGBoost vs Baseline_MACD_EMA,loi_nhuan_rong,84,-3696.14,-5335.78,1196.0,0.008619,co y nghia (5%)
H1,XGBoost vs Baseline_MACD_EMA,sharpe,84,-0.284,-0.405,1326.0,0.04064,co y nghia (5%)
H1,XGBoost vs Baseline_MACD_EMA,he_so_loi_nhuan,84,0.94,0.899,1778.0,0.9751,khong co y nghia
H1,LSTM vs Baseline_MACD_EMA,loi_nhuan_rong,84,-8009.42,-5335.78,315.0,5.532e-11,co y nghia (5%)
H1,LSTM vs Baseline_MACD_EMA,sharpe,84,-0.451,-0.405,939.5,0.0001627,co y nghia (5%)
H1,LSTM vs Baseline_MACD_EMA,he_so_loi_nhuan,84,0.919,0.899,1709.0,0.7347,khong co y nghia
H1,RandomForest vs Baseline_MACD_EMA,loi_nhuan_rong,84,103.295,-5335.78,1440.0,0.1239,khong co y nghia
H1,RandomForest vs Baseline_MACD_EMA,sharpe,84,0.143,-0.405,1443.0,0.1272,khong co y nghia
H1,RandomForest vs Baseline_MACD_EMA,he_so_loi_nhuan,84,1.008,0.899,1137.5,0.00388,co y nghia (5%)
M15,XGBoost vs Baseline_MACD_EMA,loi_nhuan_rong,84,-3616.545,1899.005,96.0,4.974e-14,co y nghia (5%)
M15,XGBoost vs Baseline_MACD_EMA,sharpe,84,-1.037,0.756,89.0,3.9e-14,co y nghia (5%)
M15,XGBoost vs Baseline_MACD_EMA,he_so_loi_nhuan,84,0.903,1.07,66.0,1.767e-14,co y nghia (5%)
M15,LSTM vs Baseline_MACD_EMA,loi_nhuan_rong,84,-4995.435,1899.005,87.0,3.654e-14,co y nghia (5%)
M15,LSTM vs Baseline_MACD_EMA,sharpe,84,-1.582,0.756,0.0,1.704e-15,co y nghia (5%)
M15,LSTM vs Baseline_MACD_EMA,he_so_loi_nhuan,84,0.853,1.07,0.0,1.709e-15,co y nghia (5%)
M15,RandomForest vs Baseline_MACD_EMA,loi_nhuan_rong,84,-1563.08,1899.005,236.0,4.907e-12,co y nghia (5%)
M15,RandomForest vs Baseline_MACD_EMA,sharpe,84,-0.38,0.756,112.0,8.54e-14,co y nghia (5%)
M15,RandomForest vs Baseline_MACD_EMA,he_so_loi_nhuan,84,0.946,1.07,30.0,4.992e-15,co y nghia (5%)
