dac_trung,shap_nen_dau_tuan,khung,so_nen,tong_dac_trung,hang
ret1,0.026763096,D1,71,40,34
ret2,0.044949267,D1,71,40,26
ret3,0.0347955,D1,71,40,29
ret5,0.03080469,D1,71,40,32
ret10,0.056235198,D1,71,40,20
ret20,0.11002238,D1,71,40,7
kc_ema10,0.047047887,D1,71,40,25
kc_ema20,0.02819717,D1,71,40,33
kc_ema50,0.04841923,D1,71,40,24
kc_ema200,0.15499975,D1,71,40,3
ema10_20,0.08837314,D1,71,40,10
ema20_50,0.09524868,D1,71,40,8
ema50_200,0.23647647,D1,71,40,2
macd,0.065343544,D1,71,40,15
macd_hist,0.06380095,D1,71,40,18
rsi14,0.06500155,D1,71,40,16
rsi7,0.067097485,D1,71,40,14
atr_pct,0.15114282,D1,71,40,4
adx14,0.12498839,D1,71,40,6
pdi,0.056336872,D1,71,40,19
mdi,0.083394945,D1,71,40,12
bb_width,0.09036343,D1,71,40,9
bb_pos,0.04139262,D1,71,40,27
stoch_k,0.0544326,D1,71,40,21
stoch_d,0.082996815,D1,71,40,13
vol5,0.064454466,D1,71,40,17
vol20,0.13201699,D1,71,40,5
vol60,0.24441387,D1,71,40,1
vol_ratio,0.052144665,D1,71,40,22
bien_do,0.0501882,D1,71,40,23
than_nen,0.03387725,D1,71,40,30
kl_z,0.08566461,D1,71,40,11
gio,0.0,D1,71,40,39
thu,0.02159741,D1,71,40,36
bien_dong_cuoi_tuan,0.032100912,D1,71,40,31
lech_tich_luy,0.037163515,D1,71,40,28
diem_tam_ly_cuoi_tuan,0.022204975,D1,71,40,35
co_bien_dong_cuoi_tuan,0.00048203263,D1,71,40,37
co_lech_tich_luy,0.0,D1,71,40,39
co_diem_tam_ly_cuoi_tuan,0.0,D1,71,40,39
ret1,0.024739575,H1,43,40,20
ret2,0.0123755755,H1,43,40,31
ret3,0.014089089,H1,43,40,28
ret5,0.01242278,H1,43,40,30
ret10,0.024848351,H1,43,40,19
ret20,0.040013216,H1,43,40,14
kc_ema10,0.008986167,H1,43,40,35
kc_ema20,0.011169863,H1,43,40,33
kc_ema50,0.019679803,H1,43,40,24
kc_ema200,0.07052419,H1,43,40,7
ema10_20,0.01690818,H1,43,40,26
ema20_50,0.07503731,H1,43,40,6
ema50_200,0.07937188,H1,43,40,4
macd,0.04571915,H1,43,40,12
macd_hist,0.034237534,H1,43,40,16
rsi14,0.017388511,H1,43,40,25
rsi7,0.010506873,H1,43,40,34
atr_pct,0.07588156,H1,43,40,5
adx14,0.056201156,H1,43,40,10
pdi,0.050374642,H1,43,40,11
mdi,0.029135823,H1,43,40,17
bb_width,0.06059871,H1,43,40,9
bb_pos,0.012694706,H1,43,40,29
stoch_k,0.023855668,H1,43,40,21
stoch_d,0.025392774,H1,43,40,18
vol5,0.03895366,H1,43,40,15
vol20,0.09636553,H1,43,40,3
vol60,0.110747516,H1,43,40,2
vol_ratio,0.01212295,H1,43,40,32
bien_do,0.020141875,H1,43,40,23
than_nen,0.014430708,H1,43,40,27
kl_z,0.04565094,H1,43,40,13
gio,0.06606911,H1,43,40,8
thu,0.15469709,H1,43,40,1
bien_dong_cuoi_tuan,0.02181803,H1,43,40,22
lech_tich_luy,0.008569761,H1,43,40,36
diem_tam_ly_cuoi_tuan,0.0050686267,H1,43,40,37
co_bien_dong_cuoi_tuan,0.0,H1,43,40,39
co_lech_tich_luy,0.0,H1,43,40,39
co_diem_tam_ly_cuoi_tuan,0.0,H1,43,40,39
spread,0.18307182,M15,14,41,2
ret1,0.010555508,M15,14,41,34
ret2,0.008347611,M15,14,41,37
ret3,0.01601882,M15,14,41,32
ret5,0.009825248,M15,14,41,36
ret10,0.018129924,M15,14,41,31
ret20,0.055356663,M15,14,41,11
kc_ema10,0.019259041,M15,14,41,30
kc_ema20,0.009825466,M15,14,41,35
kc_ema50,0.03348177,M15,14,41,18
kc_ema200,0.07459194,M15,14,41,9
ema10_20,0.02720564,M15,14,41,22
ema20_50,0.08072587,M15,14,41,8
ema50_200,0.11406584,M15,14,41,6
macd,0.031933255,M15,14,41,19
macd_hist,0.0437832,M15,14,41,13
rsi14,0.02358339,M15,14,41,23
rsi7,0.029259758,M15,14,41,21
atr_pct,0.16772518,M15,14,41,3
adx14,0.044759773,M15,14,41,12
pdi,0.04315851,M15,14,41,14
mdi,0.02958449,M15,14,41,20
bb_width,0.058855545,M15,14,41,10
bb_pos,0.019407794,M15,14,41,29
stoch_k,0.021264933,M15,14,41,25
stoch_d,0.022086266,M15,14,41,24
vol5,0.019594366,M15,14,41,27
vol20,0.14321835,M15,14,41,4
vol60,0.08111788,M15,14,41,7
vol_ratio,0.019542059,M15,14,41,28
bien_do,0.014935773,M15,14,41,33
than_nen,0.037074666,M15,14,41,16
kl_z,0.035257228,M15,14,41,17
gio,0.27446124,M15,14,41,1
thu,0.11451469,M15,14,41,5
bien_dong_cuoi_tuan,0.042660996,M15,14,41,15
lech_tich_luy,0.0,M15,14,41,40
diem_tam_ly_cuoi_tuan,0.00050982746,M15,14,41,38
co_bien_dong_cuoi_tuan,0.021121724,M15,14,41,26
co_lech_tich_luy,0.0,M15,14,41,40
co_diem_tam_ly_cuoi_tuan,0.0,M15,14,41,40
