dac_trung,shap_tb_tuyet_doi,khung
vol60,0.24369536,D1
ema50_200,0.23649138,D1
kc_ema200,0.15859911,D1
atr_pct,0.14443718,D1
vol20,0.13131504,D1
adx14,0.12776011,D1
ret20,0.1059877,D1
bb_width,0.10213358,D1
ema20_50,0.09459358,D1
kl_z,0.089771755,D1
ema10_20,0.08902866,D1
stoch_d,0.08294257,D1
mdi,0.08102046,D1
rsi7,0.06726404,D1
macd,0.065435804,D1
vol20,0.10072997,H1
vol60,0.09785455,H1
ema50_200,0.08817598,H1
atr_pct,0.07303964,H1
gio,0.06991187,H1
bb_width,0.068029,H1
kc_ema200,0.06494088,H1
adx14,0.06291608,H1
ema20_50,0.06187665,H1
thu,0.053379085,H1
vol5,0.04333585,H1
kl_z,0.04332845,H1
ret20,0.03995337,H1
mdi,0.0382079,H1
pdi,0.037999183,H1
gio,0.3264071,M15
spread,0.13749225,M15
atr_pct,0.1327741,M15
vol20,0.12734786,M15
ema50_200,0.098228805,M15
vol60,0.07827903,M15
ema20_50,0.0713653,M15
kc_ema200,0.064054854,M15
thu,0.06193285,M15
bb_width,0.044555504,M15
adx14,0.043918647,M15
ret20,0.038904533,M15
kl_z,0.037147302,M15
pdi,0.036546703,M15
macd_hist,0.03465203,M15
