khung,thanh_phan,nhom_chan_troi,n,r2_mo_hinh,r2_giu_delta
H1,close,1 nen,404,0.9246956436070228,0.9357820529956677
H1,close,2-4,1212,0.8847479268584149,0.8764589145480912
H1,close,5-12,3232,0.8338123193031712,0.8049394204413998
H1,close,13-24,4848,0.7502125451098128,0.717042138157252
H1,close,>24,10504,0.6747001950658755,0.6109723804560336
H1,high,1 nen,404,0.9256136060380378,0.9284733276626468
H1,high,2-4,1212,0.8740965178930123,0.8562168558604
H1,high,5-12,3232,0.8016354176649677,0.7584967888474774
H1,high,13-24,4848,0.6968898440099118,0.6390919152564745
H1,high,>24,10504,0.6474196056871103,0.5680934443107788
H1,low,1 nen,404,0.917571775310384,0.9388736576753659
H1,low,2-4,1212,0.8462999694448095,0.841240597893883
H1,low,5-12,3232,0.7807259193645038,0.7745069488835783
H1,low,13-24,4848,0.7098430974804937,0.6950367108711124
H1,low,>24,10504,0.6455661028512957,0.605217068338223
H1,open,1 nen,404,0.9154333544151324,0.9168737198794921
H1,open,2-4,1212,0.8813724540884206,0.8742268948943861
H1,open,5-12,3232,0.7977703883226529,0.7897647708280808
H1,open,13-24,4848,0.7156886155985491,0.7039245531887546
H1,open,>24,10504,0.638461261973033,0.6330845838901755
