khung,thanh_phan,nhom_chan_troi,n,r2_mo_hinh,r2_giu_delta
M15,close,1 nen,401,0.9604925807788881,0.9678553653992781
M15,close,2-4,1203,0.9108959482569238,0.9206402877278047
M15,close,5-12,3208,0.8799740201145938,0.8862620396964875
M15,close,13-24,4812,0.830039492391317,0.8377360077060306
M15,close,>24,70576,0.6218097461659843,0.628130369650684
M15,high,1 nen,401,0.9357659411275407,0.9393608864102313
M15,high,2-4,1203,0.9213477073831602,0.9139449005410187
M15,high,5-12,3208,0.8768465067290249,0.8675886385067099
M15,high,13-24,4812,0.8155544580562204,0.8022907512050398
M15,high,>24,70576,0.5988951454825578,0.6084685298322345
M15,low,1 nen,401,0.9530143676685381,0.9586965218984405
M15,low,2-4,1203,0.9018822510282238,0.9119645090481691
M15,low,5-12,3208,0.859962134312293,0.8649570222652653
M15,low,13-24,4812,0.8127226833412758,0.8216904577879152
M15,low,>24,70576,0.6152513939186981,0.6151885836983935
M15,open,1 nen,401,0.9676937466410201,0.9705349228822295
M15,open,2-4,1203,0.9320410018908432,0.9303877090232007
M15,open,5-12,3208,0.8713510407351135,0.8719243478590339
M15,open,13-24,4812,0.8315756634916993,0.8319889248012686
M15,open,>24,70576,0.6343542536900094,0.631358262260731
