khung,thanh_phan,buoc,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
H1,close,1,404.0,2.564980991202811,2.499504261624513,2.3275895251659793,0.11983994245201869,3.800754879526468,2242.6836584158414
H1,close,2,404.0,3.0298023214469407,3.2937716326797064,2.41904382499595,0.13864207416403718,4.247612808176939,2243.160621287129
H1,close,3,404.0,3.527591486592,3.534395294938488,2.5608597704816747,0.1642203589982811,5.079953095105365,2243.393745049505
H1,close,4,404.0,3.707205940844863,3.738170909645576,2.3334733492577913,0.17066602435427466,5.052878982176565,2243.586301980198
H1,close,5,404.0,3.5399789566298026,4.034824503114821,2.3635535523821494,0.16286007090302135,4.855072037577018,2244.102809405941
H1,close,6,404.0,3.881922333337171,4.323204099666374,2.4112995865474534,0.1768600536368588,5.242720774642442,2243.741393564356
H1,close,7,404.0,4.060436532764663,4.40151066483536,2.3507459368034835,0.1864719178718666,5.535326542418916,2243.8664084158418
H1,close,8,404.0,3.9554618756042563,4.298015222152204,2.2425841344881614,0.18106176041572214,5.430344267161919,2244.1891237623763
H1,close,9,404.0,4.006417159259369,4.479360850935209,2.296723388947642,0.18221299682188544,5.396417202647187,2244.2462153465344
H1,close,10,404.0,4.275021015057566,4.658942016363213,2.4599272488078623,0.19621865187403525,5.856478364861635,2244.5876212871285
H1,close,11,404.0,4.5458394237074815,4.936935623762988,2.549287795433368,0.20599210540159923,6.368227089510147,2244.631415841584
H1,close,12,404.0,4.667251126102258,4.908282802683118,2.497515678546282,0.2116457163603779,6.429608454197785,2244.488440594059
H1,close,13,404.0,4.690051938396706,5.005703404880906,2.4664473473247757,0.21376390499598655,6.732847738870378,2244.8511089108906
H1,close,14,404.0,4.588220977685449,4.999821692871209,2.532980429752991,0.20874418720510088,6.590225704981135,2244.7192945544552
H1,close,15,404.0,4.562647590094264,5.004324768791191,2.455468976822262,0.20644966862911168,6.6114000221628935,2244.923128712871
H1,close,16,404.0,4.604110950931654,5.114862677259481,2.427555928019211,0.21043231908517468,6.622280657645436,2245.1540445544556
H1,close,17,404.0,4.724184631532113,4.966302342683258,2.539754086305786,0.21576268399744547,6.793941024901827,2245.091561881188
H1,close,18,404.0,4.779159509831047,5.141388330681316,2.5252034159346213,0.21869157343085266,6.808898684017377,2245.315757425743
H1,close,19,404.0,4.793398824773189,5.261026947266992,2.4802815547007446,0.21761445525496237,7.044735097984269,2245.2870816831683
H1,close,20,404.0,4.885590462657002,5.458506945583133,2.586509539973129,0.2205460015193019,7.282134987122233,2245.531410891089
H1,close,21,404.0,5.022759858248295,5.600563740139966,2.643252469168649,0.22421897800452864,7.42348417415334,2245.6459430693067
H1,close,22,404.0,5.044765311437249,5.451087082564932,2.3121597525968927,0.2247465046002088,7.377679433055693,2245.7211163366337
H1,close,23,404.0,4.863893220658687,5.277753568483552,2.4827350046287417,0.21822384790777366,7.107098890887212,2245.6770173267323
H1,close,24,404.0,4.820156779466552,5.309955580215474,2.4193825068112127,0.2165010278037927,6.944178225387087,2245.3611460396037
H1,close,25,404.0,5.103738973913198,5.513897947776317,2.582363899692261,0.2304480226703176,7.293196880671629,2245.3961633663366
H1,close,26,404.0,5.032075582460296,5.677245972821748,2.429659325420102,0.22737764714868214,7.350128096485539,2245.684143564357
H1,close,27,404.0,5.007793866461951,5.523825425908856,2.4011413894575218,0.22507111693852974,7.250013006244648,2245.3952004950497
