khung,thanh_phan,buoc,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
M15,close,1,401.0,1.917517168748223,1.6620697580380122,1.5548895962465332,0.09061529460549889,2.66883238067235,2242.5714812967585
M15,close,2,401.0,2.261546114977794,2.0392385756863094,1.7407263998824456,0.10728557013819848,3.2103946757084767,2242.6219725685787
M15,close,3,401.0,2.4770948795391754,2.3062748476389756,1.804471423365804,0.11656515486535413,3.8664983176142904,2242.5684688279302
M15,close,4,401.0,2.6648045919445646,2.597821339927328,1.7715913799038765,0.12511229733989743,4.2327621072895285,2242.602558603491
M15,close,5,401.0,2.864825436124637,2.7594682606049608,1.9358787491913163,0.13603336491717163,4.336694661871207,2242.5524413965086
M15,close,6,401.0,2.918209469852181,2.842699658684638,1.7579806195383083,0.13793786567485183,4.532597854687346,2242.561391521197
M15,close,7,401.0,2.7291114784887536,2.838001053375726,1.5877627255305478,0.1279344767338086,4.157918058552352,2242.578596009975
M15,close,8,401.0,3.0121043954602618,2.8470109401173818,1.7418964826828915,0.1416899880809431,4.309306869263512,2242.2846334164587
M15,close,9,401.0,2.9952678623655853,2.923685805101301,1.7433605117880455,0.1393744162827529,4.193307879786595,2242.4174538653365
M15,close,10,401.0,3.0737695882923832,3.037125680831544,1.7503223457451318,0.14471416587886354,4.215768198528479,2242.3639002493765
M15,close,11,401.0,3.226424470674435,3.1037166062135246,1.7837554972800977,0.15175410833688666,4.5502143615609505,2242.2694837905237
M15,close,12,401.0,3.210991860067458,3.16929346595738,1.8598780379673292,0.15068006927194777,4.443144705083348,2242.0568778054862
M15,close,13,401.0,3.364043601504539,3.4298885489980213,1.9152546810264068,0.15788721174153622,4.856371163262742,2242.0013216957605
M15,close,14,401.0,3.443825435401015,3.4527194546542246,1.9556906486218208,0.16117574133230914,4.853162255655625,2242.2425336658357
M15,close,15,401.0,3.3935898979887105,3.4083975284354704,1.940643524959816,0.1594477289433435,4.937869133452072,2242.324735660848
M15,close,16,401.0,3.502638361565127,3.4361055351285668,1.9432875355961003,0.16365740556065078,4.974369835069231,2242.297591022444
M15,close,17,401.0,3.6869425860373184,3.680811526130668,1.9441615533137218,0.17295614070773047,5.131872944388781,2242.3159725685787
M15,close,18,401.0,3.6182847217774925,3.641142847306033,2.046820890271348,0.1692665141597462,5.101000726850606,2242.4004139650874
M15,close,19,401.0,3.714544164103148,3.750117511921415,2.041077407482102,0.17322997844739485,5.203100327644225,2242.338127182045
M15,close,20,401.0,3.8122833460931034,3.7843765674457908,1.974050734818754,0.17905172650363171,5.437485520740454,2242.2850299251872
M15,close,21,401.0,3.857300935516995,3.7576209416671986,2.08400257264461,0.18037306754600166,5.492135000032512,2242.4386059850376
M15,close,22,401.0,3.997373520062552,3.962294431384632,2.1847103132109313,0.18743550034962458,6.68003874948413,2242.5373965087283
M15,close,23,401.0,3.952853731244114,3.842550867377639,2.0488165784360755,0.18488575897055723,6.4785979388706245,2242.53363840399
M15,close,24,401.0,3.844400261622161,3.7216297725064464,2.029581620693891,0.17802851227532138,5.538294192644561,2242.71691521197
M15,close,25,401.0,4.077049517628839,3.8777614611988858,2.0752671431822787,0.18879986691687825,5.6799406724231085,2242.860802992519
M15,close,26,401.0,3.935047424279889,3.872202802716205,2.006169295036881,0.18305866418898742,5.549593694205871,2242.8086334164586
M15,close,27,401.0,3.9724155574180164,3.9872417884350013,2.069730175246115,0.18443284581155917,5.633027782080614,2243.0294114713215
M15,close,28,401.0,4.180704460423509,4.007180381181333,2.1558476388441923,0.19292853722089862,6.397992328428755,2243.110942643392
M15,close,29,401.0,4.1020012887308255,3.9083233869252134,2.091733881242446,0.1898561105760636,5.9444171667854,2243.2456957605987
M15,close,30,401.0,4.160949689436302,4.021722652774378,2.096403545079537,0.19227173061757344,6.078564036181231,2243.1759900249376
M15,close,31,401.0,4.308926228491676,4.069258112062562,2.1087471417149164,0.19953165705870243,6.3771887309630735,2243.2803316708228
M15,close,32,401.0,4.283598130086731,4.139925392857271,2.2371928554306395,0.1987416043907514,6.415175726244827,2243.3691546134664
M15,close,33,401.0,4.328764877881637,4.091413997483052,2.186035914742358,0.20029125613670695,6.423026891352215,2243.465600997506
M15,close,34,401.0,4.328748398732873,4.170478013375733,2.2682207252366875,0.20199879466503115,6.566624106683225,2243.651017456359
M15,close,35,401.0,4.536933765216886,4.316969220288189,2.3556703217413633,0.21181514002841023,6.866144517728834,2243.6042094763093
M15,close,36,401.0,4.349246929348888,4.16587229221256,2.146538326503798,0.20235884440081817,6.5200865876101375,2243.8469426433917
M15,close,37,401.0,4.3425052543363805,4.194901524945462,2.1612932977407286,0.20203402902957784,6.4985412646509255,2243.7132867830423
M15,close,38,401.0,4.285214753439575,4.2329563574757785,2.205353770865934,0.20046326725024047,6.400088703148905,2243.8406583541146
M15,close,39,401.0,4.435891183014781,4.225837605708035,2.2885895598960357,0.2078115440514458,6.66247555531017,2243.915042394015
M15,close,40,401.0,4.56352798139912,4.3774297471109245,2.293740244009658,0.21247673698380426,6.76630778834043,2243.97327680798
M15,close,41,401.0,4.518067872118787,4.404754776881068,2.4183100639767594,0.2096476865501283,6.835244696339529,2244.035536159601
M15,close,42,401.0,4.542469065143881,4.3972540807130205,2.411711602067723,0.2117810987851521,6.911251187880775,2244.208463840399
M15,close,43,401.0,4.664963179666558,4.464891990264289,2.398905454308498,0.21670570261284575,6.750202565859017,2244.2888478802993
M15,close,44,401.0,4.791949464153653,4.50921617215978,2.301413709253737,0.22199014566691538,6.965336108732832,2244.250426433915
M15,close,45,401.0,4.653101894925867,4.331093600288582,2.3073206137740314,0.21601462568020002,6.834692919437336,2244.3550149625935
M15,close,46,401.0,4.696219549906359,4.61769736689072,2.3430637105548398,0.21701072139418162,6.970031636668175,2244.450765586035
M15,close,47,401.0,4.724451036306218,4.584090071157033,2.2498660012513665,0.21777074970606514,7.00470314114522,2244.6042743142143
M15,close,48,401.0,4.605150806613193,4.523790065447135,2.2455600657560413,0.21425319910678692,6.8702657463910155,2244.650842892768
M15,close,49,401.0,4.744148807002416,4.544069273511637,2.358147775905932,0.22034766374354875,6.894641502232561,2244.6526234413964
M15,close,50,401.0,4.634192059207021,4.4336960349611525,2.2176801085904123,0.2155835144164311,6.6141905472052684,2244.7540199501245
M15,close,51,401.0,4.672260078193989,4.467256989360603,2.368641939343521,0.217966117451414,6.757849321064966,2244.6218503740647
M15,close,52,401.0,4.694763231714135,4.404400241667345,2.2643509037363976,0.21702220208393544,6.724816295117982,2244.6784613466334
M15,close,53,401.0,4.7768399628376015,4.501504717679356,2.3856021859524135,0.22102209952989982,6.817055797966285,2244.6414314214467
M15,close,54,401.0,4.719104413881213,4.534032442952481,2.223204562807183,0.21791868526141303,6.776624090800114,2244.723740648379
M15,close,55,401.0,4.630262832655355,4.485652847697719,2.2658450892269317,0.21453910867180523,6.43990121340148,2244.667588528678
