khung,thanh_phan,nhom_chan_troi,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
M15,close,1 nen,401.0,1.917517168748223,1.6620697580380122,1.5548895962465332,0.09061529460549889,2.66883238067235,2242.5714812967585
M15,close,2-4,1203.0,2.467815195487178,2.3144449210842044,1.7722630677173752,0.11632100744781669,3.7935347751508997,2242.597666666667
M15,close,5-12,3208.0,3.0038380701657124,2.940125183860807,1.7701043712154585,0.1412648068971533,4.344713601933477,2242.385597256858
M15,close,13-24,4812.0,3.6823400469096894,3.655637961079676,2.009008171756298,0.17228294054482063,5.421336398141144,2242.3693568162926
M15,close,>24,70576.0,5.819681524160818,5.66841749406864,2.6220197180165234,0.2682175766715206,9.032453565561646,2245.6021752012016
M15,high,1 nen,401.0,1.9918513214177698,1.76063321145544,1.4955077141046955,0.09329172570076881,3.7704108467125663,2244.063511221945
M15,high,2-4,1203.0,2.474488801055124,2.5308228195332374,1.4154864460232837,0.11689795606080536,3.659092318664751,2244.102389027431
M15,high,5-12,3208.0,3.0644193321134865,3.2038595400600345,1.4930410313504774,0.14413164160133207,4.46784929256332,2243.8741368453866
M15,high,13-24,4812.0,3.817844034075392,3.962653011504079,1.6930667975338163,0.17849796965870643,5.8020801793890255,2243.811752909393
M15,high,>24,70576.0,6.0874756924285105,6.020825962911553,2.34499743784616,0.2801099352971415,9.732387651597923,2247.0627792167306
M15,low,1 nen,401.0,2.064249522918866,1.6919587233745854,1.4100506662218113,0.09885316244335378,2.8054263463276263,2240.8940399002495
M15,low,2-4,1203.0,2.5743424289867805,2.3969594198589363,1.5234965531226021,0.12189645717280848,3.9908412217041755,2241.0410058187863
M15,low,5-12,3208.0,3.155882447171487,3.0879314376138214,1.487707203530162,0.14898639519243975,4.654235434849172,2240.86968734414
M15,low,13-24,4812.0,3.8923332547151324,3.8197906866354163,1.708417038584547,0.18242947036451726,5.657225307963711,2240.8260654613464
M15,low,>24,70576.0,5.879612600437426,5.789645110490245,2.1598764939295374,0.27218539571814254,8.95806615161051,2244.067101819315
M15,open,1 nen,401.0,1.6881786138030481,1.6300510421768521,0.08162988697064687,0.07958496995561673,2.4158011562192763,2242.508284289277
M15,open,2-4,1203.0,2.325906013642937,2.313474821513485,0.10894359113264893,0.10997369862337221,3.403393292686826,2242.598260182876
M15,open,5-12,3208.0,3.0474894445556844,3.0133679583090096,0.11663276907960468,0.14371044050990026,4.474760695652872,2242.4511078553614
M15,open,13-24,4812.0,3.6939931891063784,3.6574978094101636,0.13377707823295512,0.17288800556208075,5.406658178964492,2242.3166822527014
M15,open,>24,70576.0,5.732204306774224,5.711129621452729,0.27540809744945316,0.2641535519419872,8.825345932500174,2245.576710510655
