khung,thanh_phan,nhom_chan_troi,n,mae_mo_hinh_usd,mae_giu_delta_usd,mae_mot_buoc_usd,mape_mo_hinh_pct,rmse_mo_hinh_usd,gia_tri_tb_usd
D1,close,1 nen,209.0,8.236526613992421,7.449340447762123,7.243827719301397,0.3385720820579785,11.559930470148595,2501.761866028708
D1,close,2-4,418.0,9.096598393477043,9.652769277576732,7.477895450521051,0.3606367971958837,13.869413183892586,2503.300442583732
D1,high,1 nen,209.0,8.253008300385355,7.786615259323688,6.996951511174168,0.3250658839966117,14.081406899904323,2518.354057416268
D1,high,2-4,418.0,12.09020029656685,11.653629552961759,8.7578352334303,0.4624122478673245,28.892341988744178,2522.194416267943
D1,low,1 nen,209.0,8.793907793268662,7.365549875690563,6.616710402535691,0.36637407975449066,14.886996311124683,2481.596205741627
D1,low,2-4,418.0,9.510460712922178,9.519067124384238,7.027250633694358,0.3779195100352631,21.26012490936324,2483.673497607656
D1,open,1 nen,209.0,8.076359575114965,8.095260012122104,1.541154624546224,0.30916995525762686,14.309752299382168,2496.852545454545
D1,open,2-4,418.0,9.59597821460406,9.412411703663114,1.367164311927267,0.38379182480745605,14.941787465725513,2502.1453038277514
H1,close,1 nen,404.0,2.564980991202811,2.499504261624513,2.3275895251659793,0.11983994245201869,3.800754879526468,2242.6836584158414
H1,close,2-4,1212.0,3.4215332496279345,3.5221126124212567,2.4377923149118055,0.15784281917219767,4.809009739547254,2243.380222772277
H1,close,5-12,3232.0,4.116541052807821,4.505134472939162,2.39645466524455,0.1879154091606708,5.6623776256425264,2244.231678527228
H1,close,13-24,4848.0,4.781578337976017,5.215941423451784,2.4893109176699184,0.21630792936951998,6.95086793358219,2245.273217615512
H1,close,>24,10504.0,5.7150010992871385,6.36946221697065,2.53671781210731,0.2594869746205596,8.43654097253672,2245.7661372810358
H1,high,1 nen,404.0,2.6805992487115877,2.499068049407137,2.096396633765293,0.12430098480072198,4.0535964185032,2245.5596955445544
H1,high,2-4,1212.0,3.5496051619263826,3.6508701157651284,2.1792052741767343,0.1632028823667087,5.196750479830563,2246.2837838283826
H1,high,5-12,3232.0,4.554108244987841,4.84352983762615,2.3050456490167996,0.20673117705164779,6.525040668084376,2247.1794554455446
H1,high,13-24,4848.0,5.304681158681962,5.683004068839204,2.3885655504908647,0.23640112949466602,9.626522081597102,2248.272847359736
H1,high,>24,10504.0,6.242661523889452,6.718164567844738,2.3956529319158544,0.2816922598088748,9.442228154910582,2248.7864262185835
H1,low,1 nen,404.0,2.6642672506094756,2.376698630917664,1.9865092074160353,0.12576220192484505,3.889383807083393,2239.2458044554455
H1,low,2-4,1212.0,3.7493135117423235,3.8585016698745367,2.300654312073926,0.17503544938187962,5.527560445789778,2240.094517326733
H1,low,5-12,3232.0,4.648190021964242,4.755892153954357,2.2964362420541793,0.214052412368638,6.448655850256858,2241.022638923267
H1,low,13-24,4848.0,5.170398472090723,5.382578341498454,2.3507639123306174,0.2349009818068746,7.45372746425286,2242.0880016501646
H1,low,>24,10504.0,5.979034905026311,6.3913515094103115,2.322470545276617,0.27228615367513537,8.669825104350059,2242.5375500761616
H1,open,1 nen,404.0,2.6853926538703825,2.6750099244685854,0.21605580979888603,0.12809448109841337,3.874310247804272,2242.304797029703
H1,open,2-4,1212.0,3.398640707410274,3.503434393734514,0.19642067031747207,0.15776298589789026,4.901282204111632,2243.0651031353136
H1,open,5-12,3232.0,4.47340039293687,4.569314089414095,0.2122876648628247,0.20444478307867822,6.24192538913979,2244.092791769802
H1,open,13-24,4848.0,5.1789643137782955,5.261264063464051,0.22369014292497885,0.23424715830444234,7.493888944703465,2245.1872570132014
H1,open,>24,10504.0,6.1092163776475275,6.153472524256446,0.22476041093815444,0.2774792107128769,8.924490370443822,2245.745596058644
M15,close,1 nen,401.0,1.917517168748223,1.6620697580380122,1.5548895962465332,0.09061529460549889,2.66883238067235,2242.5714812967585
