khung,mo_hinh,cua_so,alpha,so_buoc,r2_open,r2_high,r2_low,r2_close,r2_tb,rmse_tb,giay
H1,ridge,250,0.1,3097,0.9989,0.9473,0.935,0.9261,0.9518,0.00138,1.4
H1,ridge,250,1.0,3097,0.9988,0.948,0.936,0.9273,0.9525,0.00137,1.4
H1,ridge,250,10.0,3097,0.9966,0.9502,0.9385,0.9314,0.9542,0.00138,1.4
H1,ridge,250,100.0,3097,0.9793,0.946,0.9328,0.9315,0.9474,0.00157,1.4
H1,ridge,500,0.1,3072,0.9991,0.9582,0.9431,0.9376,0.9595,0.00126,1.7
H1,ridge,500,1.0,3072,0.999,0.9583,0.9433,0.9377,0.9596,0.00126,1.7
H1,ridge,500,10.0,3072,0.998,0.9581,0.9437,0.9384,0.9595,0.00128,1.7
H1,ridge,500,100.0,3072,0.9872,0.9533,0.9389,0.9366,0.954,0.00145,1.7
H1,ridge,1000,0.1,3022,0.9991,0.9614,0.9463,0.9418,0.9622,0.00122,2.2
H1,ridge,1000,1.0,3022,0.9991,0.9614,0.9463,0.9418,0.9622,0.00122,2.2
H1,ridge,1000,10.0,3022,0.9987,0.9613,0.9464,0.942,0.9621,0.00123,2.2
H1,ridge,1000,100.0,3022,0.9917,0.9576,0.9433,0.9403,0.9582,0.00136,2.2
H1,ols,250,0.0,3097,0.9989,0.9472,0.9348,0.926,0.9517,0.00138,
H1,ols,500,0.0,3072,0.9991,0.9582,0.943,0.9375,0.9595,0.00126,
H1,ols,1000,0.0,3022,0.9991,0.9614,0.9463,0.9418,0.9622,0.00122,
