khung,dac_trung,do_tre_dinh,tq_tai_dinh,tq_tai_0,tq_tai_duong1,nghi_ngo
D1,Delta_close_tre1,-1,0.9996,0.8081,0.7488,
D1,Delta_close_tb10,-3,0.8611,0.7632,0.7304,
D1,Delta_close_tre2,-2,0.9988,0.7484,0.705,
D1,Delta_close_tre3,-3,0.9985,0.7054,0.6676,
D1,Delta_close_tre5,-3,0.7481,0.6557,0.6203,
D1,px_atr14_chuan_hoa,-3,0.4013,0.3699,0.3611,
D1,px_spread_tb5,-3,0.3071,0.2555,0.2434,
D1,px_bien_dong20,-3,0.2534,0.2269,0.218,
D1,px_spread_chuan_hoa,-1,0.2499,0.2019,0.1818,
D1,px_gap_mo,0,0.1835,0.1835,0.1014,
D1,Delta_bien_do_tre1,-1,0.1719,0.1348,0.1271,
D1,peg_dev_tb5,-1,0.1267,0.1242,0.116,
D1,px_khoi_luong_rank,-2,0.1395,0.1221,0.11,
D1,peg_dev,0,0.1221,0.1221,0.0859,
D1,mac_vix_z,-1,0.1268,0.1155,0.0982,
D1,news_SENT_DIR,-3,0.14,0.1113,0.0905,
D1,px_rsi14,3,0.0955,0.0914,0.0954,
D1,px_logret5,-1,0.0723,0.0512,0.0466,
D1,px_macd_hist_atr,3,0.0599,0.0341,0.0419,CO
D1,mac_us10y_bien_thien,-2,0.0683,0.0321,0.0315,
D1,thu,-3,0.0236,0.0207,0.0145,
D1,px_logret1,-2,0.1104,0.0199,0.0429,
D1,px_ty_le_than_nen,3,0.0135,0.0129,0.0105,
D1,mac_dxy_logret,-2,0.0393,0.0125,0.0045,
D1,news_SENT_INTENSITY,-2,0.0444,0.0008,0.0239,
