khung,dac_trung,do_tre_dinh,tq_tai_dinh,tq_tai_0,tq_tai_duong1,nghi_ngo
H1,Delta_close_tre1,-1,1.0,0.9654,0.9505,
H1,Delta_close_tre2,-2,0.9999,0.9505,0.9396,
H1,Delta_close_tb10,-3,0.9727,0.9476,0.9386,
H1,Delta_close_tre3,-3,0.9999,0.9396,0.9298,
H1,Delta_close_tre5,-3,0.9505,0.9209,0.9133,
H1,px_atr14_chuan_hoa,-3,0.4024,0.3922,0.3889,
H1,px_bien_dong20,-3,0.3878,0.3806,0.3769,
H1,px_spread_tb5,-3,0.3338,0.3268,0.3252,
H1,px_spread_chuan_hoa,-2,0.2562,0.2497,0.2439,
H1,Delta_bien_do_tre1,-2,0.1971,0.1894,0.1847,
H1,peg_dev_tb5,-1,0.1813,0.1809,0.1797,
H1,peg_dev,0,0.178,0.178,0.1756,
H1,mac_vix_z,-3,0.1296,0.1294,0.1291,
H1,px_khoi_luong_rank,-3,0.0979,0.0945,0.0948,
H1,news_SENT_DIR,-3,0.0928,0.0902,0.089,
H1,px_gap_mo,0,0.0716,0.0716,0.0692,
H1,px_logret5,-1,0.0502,0.0288,0.0235,
H1,news_SENT_INTENSITY,-3,0.0291,0.0284,0.0285,
H1,mac_us10y_bien_thien,-3,0.03,0.0266,0.0269,
H1,thu,-2,0.0325,0.0265,0.0242,
H1,mac_dxy_logret,-3,0.0244,0.0227,0.0225,
H1,px_logret1,-2,0.0963,0.0177,0.0095,
H1,px_rsi14,-1,0.0274,0.0142,0.0129,
H1,gio_sin,0,0.0044,0.0044,0.0043,
H1,px_macd_hist_atr,-3,0.0151,0.0044,0.003,
H1,px_ty_le_than_nen,2,0.0023,0.001,0.0018,
H1,gio_cos,-3,0.0038,0.0004,0.0006,
