khung,dac_trung,do_tre_dinh,tq_tai_dinh,tq_tai_0,tq_tai_duong1,nghi_ngo
M15,Delta_close_tre1,-1,0.9996,0.984,0.976,
M15,Delta_close_tre2,-2,0.9994,0.976,0.9701,
M15,Delta_close_tb10,-3,0.9869,0.9749,0.9706,
M15,Delta_close_tre3,-3,0.9991,0.9702,0.9655,
M15,Delta_close_tre5,-3,0.9766,0.9615,0.9575,
M15,px_bien_dong20,-1,0.3583,0.3569,0.3557,
M15,px_atr14_chuan_hoa,-3,0.3591,0.3561,0.355,
M15,px_spread_tb5,-3,0.29,0.2859,0.2845,
M15,px_spread_chuan_hoa,-1,0.2235,0.222,0.2195,
M15,peg_dev_tb5,-1,0.1709,0.1707,0.1701,
M15,peg_dev,0,0.1699,0.1699,0.1694,
M15,Delta_bien_do_tre1,-2,0.1634,0.1621,0.1602,
M15,mac_vix_z,-3,0.126,0.1259,0.1259,
M15,news_SENT_DIR,-3,0.0972,0.0966,0.0963,
M15,px_khoi_luong_rank,-2,0.0883,0.0874,0.0864,
M15,px_gap_mo,0,0.042,0.042,0.0401,
M15,news_SENT_INTENSITY,-3,0.032,0.0319,0.0319,
M15,px_logret5,-1,0.0487,0.0309,0.0241,
M15,thu,-3,0.0298,0.0269,0.0265,
M15,mac_us10y_bien_thien,-3,0.0269,0.0267,0.0267,
M15,mac_dxy_logret,-3,0.0222,0.022,0.022,
M15,px_logret1,-2,0.0785,0.0198,0.0128,
M15,px_ty_le_than_nen,3,0.0201,0.0192,0.0187,
M15,px_rsi14,-1,0.0316,0.0179,0.0137,
M15,px_macd_hist_atr,-1,0.0217,0.0132,0.01,
M15,gio_sin,0,0.0041,0.0041,0.004,
M15,gio_cos,-3,0.0019,0.0009,0.0006,
