khung,cach,n,mae_usd,rmse_usd,thien_lech_usd,so_voi_khong_doi_pct,tuong_quan_bien_dong
D1,beta015_toi_uu,279,2.723,5.82,0.259,-3.2,0.2412
D1,beta0_khong_doi,279,2.813,6.455,-0.045,0.0,0.2412
D1,beta090_pp_cu_xap_xi,279,6.711,10.383,1.805,138.6,0.2412
D1,beta1_giu_delta,279,7.419,11.487,2.015,163.7,0.2412
D1,pp_cu_nguyen_van,279,30.993,41.077,0.76,1001.8,0.2412
H1,beta0_khong_doi,282,2.835,6.457,-0.097,0.0,0.0924
H1,beta015_toi_uu,282,2.934,6.254,0.453,3.5,0.0924
H1,beta090_pp_cu_xap_xi,282,7.795,13.643,3.234,175.0,0.0924
H1,beta1_giu_delta,282,8.559,15.046,3.609,201.9,0.0924
H1,pp_cu_nguyen_van,282,32.538,43.444,4.291,1047.7,0.0924
M15,beta0_khong_doi,319,2.609,6.09,-0.102,0.0,0.1476
M15,beta015_toi_uu,319,2.701,5.899,0.39,3.5,0.1476
M15,beta090_pp_cu_xap_xi,319,7.148,12.859,2.88,174.0,0.1476
M15,beta1_giu_delta,319,7.849,14.18,3.215,200.8,0.1476
M15,pp_cu_nguyen_van,319,30.619,42.876,1.815,1073.6,0.1476
