thoi_diem,xau_dong,xau_mo_that,r_xau_nghi,r_paxg_nghi,uoc_beta0_khong_doi,uoc_beta090_pp_cu_xap_xi,uoc_beta1_giu_delta,uoc_beta015_toi_uu,uoc_pp_cu_nguyen_van,so_moc_247,bien_dong_uoc_247
2020-08-30 22:00:00+00:00,1964.428,1965.378,0.0004834844358757932,0.0024749924447767416,1964.428,1968.808627109738,1969.2959660629926,1965.157427059853,1961.914895037942,2,0.0060728531085698706
2020-09-06 22:00:00+00:00,1933.298,1929.788,-0.0018172005313362005,0.0027218977572011933,1933.298,1938.0398212084792,1938.5674076313082,1934.0874970823386,1939.0801973128812,3,0.0060608571114947885
2020-09-13 22:00:00+00:00,1938.928,1940.548,0.0008351643851706857,-0.0018814038296000063,1938.928,1935.6476621138168,1935.283522877113,1938.3808912188952,1939.2547203033264,3,0.009001254777453878
2020-09-20 22:00:00+00:00,1949.718,1949.588,-6.667853205076491e-05,0.0020678304938883184,1949.718,1953.3498962187277,1953.7538576315383,1950.3228467494246,1952.1465058808558,3,0.006380553098833634
2020-09-27 22:00:00+00:00,1860.998,1859.448,-0.0008332334831241085,-0.00257695805826517,1860.998,1856.6868588526609,1856.2084600797275,1860.278781944685,1859.980308677244,3,0.005075000523021188
2020-10-04 22:00:00+00:00,1898.868,1903.828,0.0026086770085298043,-0.000760708589744292,1898.868,1897.5684082469857,1897.4240640784697,1898.6513395816346,1924.935678678979,3,0.008245062790833783
2020-10-11 22:00:00+00:00,1929.618,1928.788,-0.0004302294848195997,0.001928962648328861,1929.618,1932.970854489668,1933.3437533117688,1930.1764049389058,1967.3622359747476,3,0.023327177706797184
2020-10-18 22:00:00+00:00,1898.968,1899.668,0.00036855334805614026,-0.0002199785422419244,1898.968,1898.5920782226904,1898.5503137302887,1898.9053412019143,1896.200108530728,3,0.0020106786760993468
2020-10-25 22:00:00+00:00,1901.258,1903.298,0.0010723985639883378,0.0026852605230342414,1901.258,1905.8583924707948,1906.370233819467,1902.023960207573,1908.6061905851423,3,0.010268904229861864
2020-11-01 22:00:00+00:00,1878.438,1876.928,-0.0008041826449819485,-0.00014068082562759018,1878.438,1878.200180867927,1878.1737583785705,1878.3983613869216,1909.553032267354,3,0.013543404409219396
